PLAYER,TEAM,POSITION,POINTS_FD,POINTS_DK,POINTS_YH,SALARY_FD,SALARY_DK,SALARY_YH,SLATE_MAIN,SLATE_THU_MON,SLATE_SUN_EARLY,SLATE_SUN_MON,SLATE_AFTERNOON,SLATE_SUN_TURBO,DIFF_DK,COLOR_DK,DIFF_FD,COLOR_FD,DIFF_YH,COLOR_YH
Derrick Henry,TEN,RB,23.21,27.2,23.21,9600,8700,37,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Patrick Mahomes,KC,QB,23.64,23.83,23.64,8900,8100,40,1,1,1,1,1,1,2,#FFC864,0.25,#FFA90D,0.25,#FFAA0F
Russell Wilson,SEA,QB,23.52,23.73,23.52,9000,7900,39,1,1,1,1,1,1,1,#FFB632,0.25,#FFA90D,0,#FFA500
Josh Allen,BUF,QB,22.37,22.72,22.37,8200,7100,33,1,1,1,0,1,1,0,#FFA500,0,#FFA500,0.25,#FFAA0F
Aaron Rodgers,GB,QB,22.37,22.47,22.37,9100,7500,36,1,1,1,1,1,1,1.25,#FFBB3F,1.5,#FFC150,0.75,#FFB52E
Kyler Murray,ARI,QB,22.07,22.26,22.07,8100,7200,34,1,1,1,1,1,1,1.25,#FFBB3F,0.5,#FFAE1A,1,#FFBA3D
Davante Adams,GB,WR,18.22,22.1,18.22,9600,9300,39,1,1,1,1,1,1,2,#FFC864,1.5,#FFC150,2,#FFD07A
Deshaun Watson,HOU,QB,21.79,22.05,21.79,8000,7600,33,1,1,1,1,1,1,1.75,#FFC458,0.5,#FFAE1A,0.75,#FFB52E
Dalvin Cook,MIN,RB,19.28,21.32,19.28,10200,9400,38,1,1,1,1,1,1,4,#FFECC9,4.75,#FFFFFF,1.75,#FFCA6B
Lamar Jackson,BAL,QB,21,21.3,21,8000,7000,31,1,1,1,1,0,1,1.5,#FFBF4B,1.5,#FFC150,0.75,#FFB52E
Tom Brady,TB,QB,19.96,20.1,19.96,7800,6900,33,1,1,1,1,1,1,2.75,#FFD68A,2,#FFCA6B,2.5,#FFDB99
Aaron Jones,GB,RB,18.2,19.89,18.2,8700,7600,33,1,1,1,1,1,1,0.75,#FFB225,2.25,#FFCF78,1.25,#FFC04C
Justin Herbert,LAC,QB,19.62,19.79,19.62,8300,6800,38,1,1,1,1,1,1,3,#FFDA97,3.25,#FFE2AE,4,#FFFBF5
Tyreek Hill,KC,WR,16.37,19.29,16.37,9000,8500,35,1,1,1,1,1,1,2.5,#FFD17E,1.75,#FFC65D,1,#FFBA3D
Ryan Tannehill,TEN,QB,18.95,19.13,18.95,7900,6700,32,1,1,1,1,1,1,3.5,#FFE3B0,3,#FFDDA1,3,#FFE6B8
James Robinson,JAC,RB,17.08,18.97,17.08,8000,7500,29,1,1,1,1,1,1,1.75,#FFC458,1.75,#FFC65D,1.25,#FFC04C
Matthew Stafford,DET,QB,18.66,18.84,18.66,7200,5700,25,1,1,1,1,1,1,1.75,#FFC458,1.5,#FFC150,1,#FFBA3D
Mike Davis,CAR,RB,16.75,18.84,16.75,6800,6400,18,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Taysom Hill,NO,QB,18.31,18.62,18.31,7700,6600,30,1,1,1,1,1,1,3,#FFDA97,2.5,#FFD486,3.25,#FFEBC7
Austin Ekeler,LAC,RB,16.15,18.59,16.15,7500,7000,26,1,1,1,1,1,1,1.25,#FFBB3F,1.5,#FFC150,0.25,#FFAA0F
Teddy Bridgewater,CAR,QB,18.35,18.47,18.35,7000,5800,27,1,1,1,1,1,1,2,#FFC864,1.75,#FFC65D,1.75,#FFCA6B
Jared Goff,LA,QB,18.03,18.38,18.03,7200,6200,25,1,1,1,1,1,1,3.25,#FFDEA4,2,#FFCA6B,1.5,#FFC55C
Derek Carr,LV,QB,18.07,18.35,18.07,7100,6000,27,1,1,1,1,1,1,2.25,#FFCD71,2,#FFCA6B,2.25,#FFD58A
Alvin Kamara,NO,RB,16.16,18.25,16.16,7800,7100,33,1,1,1,1,1,1,1.75,#FFC458,2.5,#FFD486,3.25,#FFEBC7
DeAndre Hopkins,ARI,WR,14.8,18.25,14.8,8200,7600,27,1,1,1,1,1,1,1.75,#FFC458,1,#FFB735,0.5,#FFAF1E
Ben Roethlisberger,PIT,QB,17.89,18.02,17.89,7600,6700,34,1,1,0,1,1,1,4.5,#FFF5E3,3,#FFDDA1,5,#F6F6FD
Stefon Diggs,BUF,WR,14.51,17.98,14.51,7500,7800,27,1,1,1,0,1,1,2.25,#FFCD71,0.5,#FFAE1A,0.75,#FFB52E
Calvin Ridley,ATL,WR,14.87,17.92,14.87,8100,7500,27,1,1,1,1,1,1,1.75,#FFC458,0.5,#FFAE1A,0.5,#FFAF1E
Philip Rivers,IND,QB,17.75,17.88,17.75,7000,5900,25,1,1,1,1,1,1,2.75,#FFD68A,2.25,#FFCF78,1.75,#FFCA6B
Cam Newton,NE,QB,17.27,17.48,17.27,7700,5900,28,1,1,1,1,1,1,3,#FFDA97,3.5,#FFE7BB,3,#FFE6B8
Travis Kelce,KC,TE,14.13,17.37,14.13,8200,7400,33,1,1,1,1,1,1,1.5,#FFBF4B,0,#FFA500,1,#FFBA3D
Mitchell Trubisky,CHI,QB,17.1,17.32,17.1,6800,5600,22,1,1,1,1,1,1,3.25,#FFDEA4,2.75,#FFD993,2,#FFD07A
D.K. Metcalf,SEA,WR,14.57,17.3,14.57,8600,8400,36,1,1,1,1,1,1,4.5,#FFF5E3,2.5,#FFD486,4,#FFFBF5
Matt Ryan,ATL,QB,17.06,17.2,17.06,7300,5700,29,1,1,1,1,1,1,3.25,#FFDEA4,3,#FFDDA1,3.25,#FFEBC7
Adam Thielen,MIN,WR,13.92,17,13.92,7700,7000,30,1,1,1,1,1,1,1,#FFB632,1,#FFB735,2,#FFD07A
Terry McLaurin,WSH,WR,13.77,16.96,13.77,7200,6700,27,1,1,1,1,1,1,0,#FFA500,0.25,#FFA90D,1.5,#FFC55C
Kirk Cousins,MIN,QB,16.73,16.93,16.73,7500,6200,28,1,1,1,1,1,1,4.75,#FFF9EF,4,#FFF0D6,3.5,#FFF0D7
Daniel Jones,NYG,QB,16.48,16.91,16.48,6800,5500,23,1,1,1,1,1,1,3,#FFDA97,3.25,#FFE2AE,3,#FFE6B8
Andy Dalton,DAL,QB,16.59,16.74,16.59,6800,5500,22,1,1,1,1,1,1,3.25,#FFDEA4,3.25,#FFE2AE,2.5,#FFDB99
Mike Glennon,JAC,QB,16.51,16.7,16.51,6600,5100,25,1,1,1,1,1,1,2.5,#FFD17E,2.5,#FFD486,3,#FFE6B8
Keenan Allen,LAC,WR,13.24,16.6,13.24,8500,7700,30,1,1,1,1,1,1,3.5,#FFE3B0,3.75,#FFECC9,2.75,#FFE0A8
Tua Tagovailoa,MIA,QB,16.42,16.57,16.42,6600,5400,24,1,1,1,1,1,1,3.5,#FFE3B0,2.5,#FFD486,3.25,#FFEBC7
Chris Carson,SEA,RB,14.98,16.56,14.98,7700,6900,26,1,1,1,1,1,1,3,#FFDA97,3.25,#FFE2AE,1.25,#FFC04C
Brandon Allen,CIN,QB,16.31,16.48,16.31,6500,4900,20,1,1,1,1,1,1,2,#FFC864,2.75,#FFD993,2.25,#FFD58A
Myles Gaskin,MIA,RB,14.84,16.48,14.84,6000,5600,19,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Justin Jefferson,MIN,WR,13.35,16.18,13.35,7800,7400,27,1,1,1,1,1,1,3.5,#FFE3B0,1.75,#FFC65D,2,#FFD07A
Tyler Lockett,SEA,WR,13.16,16.07,13.16,7900,7200,27,1,1,1,1,1,1,3.25,#FFDEA4,2,#FFCA6B,2.25,#FFD58A
Ezekiel Elliott,DAL,RB,14.51,16.05,14.51,7600,6600,28,1,1,1,1,1,1,3.5,#FFE3B0,3.5,#FFE7BB,3.25,#FFEBC7
A.J. Brown,TEN,WR,13.43,16.04,13.43,8000,7300,32,1,1,1,1,1,1,3.5,#FFE3B0,2,#FFCA6B,3.5,#FFF0D7
Nick Mullens,SF,QB,15.88,15.99,15.88,6700,5100,23,1,1,1,1,1,1,3.25,#FFDEA4,3.5,#FFE7BB,3.5,#FFF0D7
Robby Anderson,CAR,WR,13.07,15.92,13.07,6500,6200,19,1,1,1,1,1,1,0.750000000000002,#FFB225,0,#FFA500,0,#FFA500
Jalen Hurts,PHI,QB,15.52,15.81,15.52,6600,5100,22,1,1,1,1,1,1,3.5,#FFE3B0,3.5,#FFE7BB,3.25,#FFEBC7
Allen Robinson,CHI,WR,12.65,15.78,12.65,7000,6800,25,1,1,1,1,1,1,2,#FFC864,1,#FFB735,1.5,#FFC55C
Alex Smith,WSH,QB,15.33,15.45,15.33,6600,5200,21,1,1,1,1,1,1,4,#FFECC9,3.75,#FFECC9,3.25,#FFEBC7
Darren Waller,LV,TE,12.29,15.4,12.29,7100,6800,24,1,1,1,1,1,1,2.75,#FFD68A,0.25,#FFA90D,0,#FFA500
Drew Lock,DEN,QB,15.12,15.29,15.12,6700,5100,22,1,1,1,1,1,1,4,#FFECC9,4.25,#FFF5E4,4,#FFFBF5
James Conner,PIT,RB,14.05,15.28,14.05,6500,6300,20,1,1,0,1,1,1,3,#FFDA97,1.5,#FFC150,1.25,#FFC04C
Raheem Mostert,SF,RB,14.03,15.09,14.03,7100,6200,20,1,1,1,1,1,1,3.25,#FFDEA4,2.75,#FFD993,1.25,#FFC04C
Diontae Johnson,PIT,WR,12,15.05,12,6800,6700,20,1,1,0,1,1,1,2,#FFC864,0.5,#FFAE1A,0.25,#FFAA0F
Robert Woods,LA,WR,12.04,14.96,12.04,7000,6700,25,1,1,1,1,1,1,2.25,#FFCD71,1.75,#FFC65D,2.25,#FFD58A
Michael Thomas,NO,WR,11.88,14.93,11.88,7300,7100,30,1,1,1,1,1,1,3,#FFDA97,2.25,#FFCF78,4,#FFFBF5
David Montgomery,CHI,RB,13.5,14.87,13.5,6600,6500,19,1,1,1,1,1,1,3.75,#FFE7BD,2.25,#FFCF78,1.5,#FFC55C
Cooper Kupp,LA,WR,11.79,14.73,11.79,6700,6500,22,1,1,1,1,1,1,2.25,#FFCD71,0.5,#FFAE1A,1,#FFBA3D
Chris Godwin,TB,WR,11.86,14.54,11.86,7400,6300,27,1,1,1,1,1,1,2.25,#FFCD71,2.25,#FFCF78,3.5,#FFF0D7
Brandin Cooks,HOU,WR,11.95,14.43,11.95,6900,6100,22,1,1,1,1,1,1,2,#FFC864,0.75,#FFB328,0.75,#FFB52E
Deebo Samuel,SF,WR,11.53,14,11.53,6300,6400,17,1,1,1,1,1,1,3,#FFDA97,0.75,#FFB328,0,#FFA500
Cole Beasley,BUF,WR,11.31,13.87,11.31,5600,5000,16,1,1,1,0,1,1,0,#FFA500,0,#FFA500,0.25,#FFAA0F
Tee Higgins,CIN,WR,11.29,13.7,11.29,6400,4800,19,1,1,1,1,1,1,0,#FFA500,1,#FFB735,1,#FFBA3D
Brandon Aiyuk,SF,WR,11.21,13.64,11.21,6700,5400,14,1,1,1,1,1,1,1.25,#FFBB3F,1,#FFB735,0,#FFA500
Ronald Jones,TB,RB,12.68,13.62,12.68,6300,6100,21,1,1,1,1,1,1,4,#FFECC9,2.5,#FFD486,2.5,#FFDB99
Giovani Bernard,CIN,RB,11.99,13.53,11.99,5700,5000,15,1,1,1,1,1,1,1.75,#FFC458,2,#FFCA6B,0.75,#FFB52E
Sam Darnold,NYJ,QB,13.24,13.47,13.24,7000,5100,23,1,1,1,1,1,1,5.75,#F9F9FD,6.75,#EDEDFB,6.25,#E9E9FA
Corey Davis,TEN,WR,10.98,13.43,10.98,6800,5700,24,1,1,1,1,1,1,1.5,#FFBF4B,1.5,#FFC150,3.25,#FFEBC7
Kenyan Drake,ARI,RB,12.38,13.39,12.38,6500,5500,24,1,1,1,1,1,1,3.25,#FFDEA4,3.25,#FFE2AE,3.75,#FFF6E6
D.J. Chark,JAC,WR,10.76,13.38,10.76,5900,5300,21,1,1,1,1,1,1,1.5,#FFBF4B,0.25,#FFA90D,2,#FFD07A
DeVante Parker,MIA,WR,10.87,13.3,10.87,6500,6100,18,1,1,1,1,1,1,3.25,#FFDEA4,1.25,#FFBC43,1.25,#FFC04C
Wayne Gallman,NYG,RB,12.15,13.18,12.15,6000,5700,,1,1,1,1,1,1,4.25,#FFF0D6,2.25,#FFCF78,,
JuJu Smith-Schuster,PIT,WR,10.05,12.68,10.05,6400,6100,24,1,1,0,1,1,1,3.75,#FFE7BD,2.25,#FFCF78,4.25,#FDFDFE
Keke Coutee,HOU,WR,10.28,12.63,10.28,5600,5000,16,1,1,1,1,1,1,1.25,#FFBB3F,0,#FFA500,1.25,#FFC04C
Mark Andrews,BAL,TE,10.27,12.5,10.27,6600,5300,22,1,1,1,1,0,1,2,#FFC864,0.5,#FFAE1A,1.25,#FFC04C
Marvin Jones,DET,WR,10.27,12.47,10.27,6200,5800,16,1,1,1,1,1,1,3.5,#FFE3B0,1.75,#FFC65D,1.25,#FFC04C
Mike Evans,TB,WR,10.31,12.45,10.31,7300,6600,30,1,1,1,1,1,1,4.75,#FFF9EF,3.75,#FFECC9,5.5,#F1F1FC
Tyler Boyd,CIN,WR,10.05,12.41,10.05,6700,4900,18,1,1,1,1,1,1,1.5,#FFBF4B,2.25,#FFCF78,2.25,#FFD58A
Antonio Brown,TB,WR,10.2,12.4,10.2,6500,5500,19,1,1,1,1,1,1,2.5,#FFD17E,2,#FFCA6B,2,#FFD07A
Todd Gurley,ATL,RB,11.63,12.38,11.63,6100,4800,24,1,1,1,1,1,1,3,#FFDA97,3.25,#FFE2AE,4.5,#FBFBFE
Amari Cooper,DAL,WR,9.94,12.37,9.94,6800,6500,25,1,1,1,1,1,1,4.75,#FFF9EF,2.5,#FFD486,4.25,#FDFDFE
Melvin Gordon,DEN,RB,11.27,12.31,11.27,6100,5200,21,1,1,1,1,1,1,4,#FFECC9,3.5,#FFE7BB,4,#FFFBF5
Jamison Crowder,NYJ,WR,9.44,11.97,9.44,6600,5400,19,1,1,1,1,1,1,2.75,#FFD68A,2.75,#FFD993,2.75,#FFE0A8
J.D. McKissic,WSH,RB,9.8,11.9,9.8,5300,4900,14,1,1,1,1,1,1,3.5,#FFE3B0,3,#FFDDA1,3,#FFE6B8
Nyheim Hines,IND,RB,10.19,11.9,10.19,6100,5200,20,1,1,1,1,1,1,4.5,#FFF5E3,4.5,#FFFAF1,5,#F6F6FD
Jonathan Taylor,IND,RB,10.86,11.89,10.86,7000,5800,24,1,1,1,1,1,1,5.5,#FBFBFE,5.75,#F6F6FD,5.25,#F3F3FC
Jakobi Meyers,NE,WR,9.31,11.75,9.31,5700,4800,13,1,1,1,1,1,1,2,#FFC864,1.5,#FFC150,1.25,#FFC04C
T.J. Hockenson,DET,TE,9.56,11.72,9.56,6000,5000,18,1,1,1,1,1,1,1.75,#FFC458,0.5,#FFAE1A,0.5,#FFAF1E
Clyde Edwards-Helaire,KC,RB,10.49,11.69,10.49,6400,5900,22,1,1,1,1,1,1,5.75,#F9F9FD,5,#FCFCFE,5,#F6F6FD
T.Y. Hilton,IND,WR,9.6,11.69,9.6,6000,5100,16,1,1,1,1,1,1,2.5,#FFD17E,1.25,#FFBC43,2,#FFD07A
Miles Sanders,PHI,RB,10.47,11.65,10.47,6200,6200,18,1,1,1,1,1,1,6.75,#F0F0FC,4.5,#FFFAF1,4,#FFFBF5
Evan Engram,NYG,TE,9.21,11.48,9.21,5700,4300,17,1,1,1,1,1,1,0.75,#FFB225,0.25,#FFA90D,0.5,#FFAF1E
David Johnson,HOU,RB,10.35,11.41,10.35,5900,5200,18,1,1,1,1,1,1,5,#FFFEFC,4,#FFF0D6,4.25,#FDFDFE
Nelson Agholor,LV,WR,9.37,11.35,9.37,5200,4700,15,1,1,1,1,1,1,2.25,#FFCD71,0.75,#FFB328,1.75,#FFCA6B
Jerry Jeudy,DEN,WR,9.16,11.3,9.16,5600,4700,17,1,1,1,1,1,1,2.5,#FFD17E,1.25,#FFBC43,2.5,#FFDB99
CeeDee Lamb,DAL,WR,9.08,11.26,9.08,6000,4800,22,1,1,1,1,1,1,2.5,#FFD17E,2,#FFCA6B,3.75,#FFF6E6
Sterling Shepard,NYG,WR,8.86,11.18,8.86,5500,5200,16,1,1,1,1,1,1,3.5,#FFE3B0,1.5,#FFC150,2.75,#FFE0A8
Chase Claypool,PIT,WR,9.09,11.07,9.09,6500,6500,26,1,1,0,1,1,1,6,#F7F7FD,3.25,#FFE2AE,5.5,#F1F1FC
Marquise Brown,BAL,WR,8.93,10.87,8.93,5800,5400,18,1,1,1,1,0,1,4,#FFECC9,2,#FFCA6B,3.25,#FFEBC7
Damiere Byrd,NE,WR,8.4,10.65,8.4,5000,3600,11,1,1,1,1,1,1,0.75,#FFB225,1,#FFB735,2,#FFD07A
Breshad Perriman,NYJ,WR,8.68,10.6,8.68,5800,3900,16,1,1,1,1,1,1,1,#FFB632,2.25,#FFCF78,2.75,#FFE0A8
Michael Pittman Jr.,IND,WR,8.65,10.56,8.65,5700,5000,18,1,1,1,1,1,1,3.5,#FFE3B0,2,#FFCA6B,3.5,#FFF0D7
Gabriel Davis,BUF,WR,8.68,10.55,8.68,5000,4300,15,1,1,1,0,1,1,2,#FFC864,0.75,#FFB328,2.25,#FFD58A
Mike Williams,LAC,WR,8.9,10.53,8.9,6100,4700,19,1,1,1,1,1,1,3.25,#FFDEA4,3,#FFDDA1,3.25,#FFEBC7
Noah Fant,DEN,TE,8.17,10.13,8.17,5500,4100,14,1,1,1,1,1,1,1.75,#FFC458,0.5,#FFAE1A,1,#FFBA3D
Cam Akers,LA,RB,9.75,10.08,9.75,5900,5100,20,1,1,1,1,1,1,5.25,#FDFDFE,4.75,#FFFFFF,5.5,#F1F1FC
Rob Gronkowski,TB,TE,8.38,10.08,8.38,6200,4800,17,1,1,1,1,1,1,3.25,#FFDEA4,1.75,#FFC65D,1.25,#FFC04C
Allen Lazard,GB,WR,8.3,10.05,8.3,5800,5000,16,1,1,1,1,1,1,4,#FFECC9,2.75,#FFD993,3.25,#FFEBC7
Michael Gallup,DAL,WR,8.12,9.87,8.12,5300,3800,17,1,1,1,1,1,1,1.75,#FFC458,2,#FFCA6B,3.5,#FFF0D7
Russell Gage,ATL,WR,7.8,9.81,7.8,5500,4500,14,1,1,1,1,1,1,3,#FFDA97,2.5,#FFD486,3.25,#FFEBC7
Dallas Goedert,PHI,TE,7.74,9.79,7.74,5600,4000,19,1,1,1,1,1,1,2.25,#FFCD71,1,#FFB735,2.5,#FFDB99
Jamaal Williams,GB,RB,8.78,9.78,8.78,5200,6000,20,1,1,1,1,1,1,7.75,#E8E8FA,3.75,#FFECC9,6.5,#E7E7FA
Chase Edmonds,ARI,RB,8.16,9.75,8.16,5300,4600,16,1,1,1,1,1,1,4.5,#FFF5E3,4.75,#FFFFFF,6,#ECECFB
Duke Johnson,HOU,RB,8.17,9.74,8.17,5400,4800,11,1,1,1,1,1,1,5.5,#FBFBFE,5,#FCFCFE,4,#FFFBF5
Leonard Fournette,TB,RB,8.4,9.73,8.4,5500,4500,13,1,1,1,1,1,1,4.5,#FFF5E3,5,#FCFCFE,4.25,#FDFDFE
Eric Ebron,PIT,TE,7.86,9.72,7.86,5600,4600,18,1,1,0,1,1,1,2.75,#FFD68A,1,#FFB735,2.25,#FFD58A
J.K. Dobbins,BAL,RB,8.8,9.7,8.8,5700,5800,24,1,1,1,1,0,1,7.75,#E8E8FA,5,#FCFCFE,7.25,#DFDFF9
Christian Kirk,ARI,WR,7.86,9.69,7.86,5500,4700,15,1,1,1,1,1,1,4,#FFECC9,2.5,#FFD486,3.25,#FFEBC7
Hayden Hurst,ATL,TE,7.66,9.47,7.66,5500,3700,12,1,1,1,1,1,1,0.75,#FFB225,1,#FFB735,0.75,#FFB52E
Hunter Renfrow,LV,WR,7.73,9.43,7.73,5300,4000,12,1,1,1,1,1,1,2.25,#FFCD71,2.5,#FFD486,2.75,#FFE0A8
Zach Ertz,PHI,TE,7.31,9.42,7.31,5300,3700,13,1,1,1,1,1,1,1,#FFB632,1.5,#FFC150,1.75,#FFCA6B
Hunter Henry,LAC,TE,7.59,9.4,7.59,5600,4400,20,1,1,1,1,1,1,2.75,#FFD68A,1.25,#FFBC43,2.75,#FFE0A8
Mike Gesicki,MIA,TE,7.5,9.35,7.5,5700,4500,16,1,1,1,1,1,1,3,#FFDA97,2,#FFCA6B,2.25,#FFD58A
Tim Patrick,DEN,WR,7.59,9.35,7.59,5400,4200,15,1,1,1,1,1,1,3.25,#FFDEA4,2.75,#FFD993,3.5,#FFF0D7
New Orleans D/ST,NO,DST,9.32,9.32,9.32,4900,3800,20,1,1,1,1,1,1,2.5,#FFD17E,2,#FFCA6B,0.75,#FFB52E
Phillip Lindsay,DEN,RB,8.57,9.22,8.57,5800,4300,17,1,1,1,1,1,1,5,#FFFEFC,5.75,#F6F6FD,5.75,#EEEEFB
Anthony Miller,CHI,WR,7.41,9.21,7.41,5000,3900,12,1,1,1,1,1,1,2.5,#FFD17E,2,#FFCA6B,3,#FFE6B8
Logan Thomas,WSH,TE,7.29,9.17,7.29,5200,3300,12,1,1,1,1,1,1,0,#FFA500,1.5,#FFC150,1.25,#FFC04C
Danny Amendola,DET,WR,7.36,9.15,7.36,5200,4000,10,1,1,1,1,1,1,2.5,#FFD17E,2.75,#FFD993,1.75,#FFCA6B
Peyton Barber,WSH,RB,8.55,9.03,8.55,4600,4400,10,1,1,1,1,1,1,5.25,#FDFDFE,3.5,#FFE7BB,3.75,#FFF6E6
Seattle D/ST,SEA,DST,9.03,9.03,9.03,5000,3000,16,1,1,1,1,1,1,1.25,#FFBB3F,2.25,#FFCF78,0.25,#FFAA0F
Robert Tonyan,GB,TE,7.37,9,7.37,5900,4200,17,1,1,1,1,1,1,3.25,#FFDEA4,2.25,#FFCF78,2.25,#FFD58A
Darnell Mooney,CHI,WR,7.21,8.99,7.21,5100,3500,13,1,1,1,1,1,1,2.5,#FFD17E,2.5,#FFD486,3.25,#FFEBC7
Sammy Watkins,KC,WR,7.42,8.99,7.42,5600,4900,14,1,1,1,1,1,1,5,#FFFEFC,3,#FFDDA1,3.5,#FFF0D7
Devontae Booker,LV,RB,7.83,8.9,7.83,5700,5300,13,1,1,1,1,1,1,7.75,#E8E8FA,6,#F3F3FC,4.75,#F8F8FD
Larry Fitzgerald,ARI,WR,6.95,8.79,6.95,5000,3500,13,1,1,1,1,1,1,2.5,#FFD17E,2.5,#FFD486,3.5,#FFF0D7
Jordan Reed,SF,TE,6.9,8.73,6.9,5000,3500,12,1,1,1,1,1,1,1.5,#FFBF4B,1.5,#FFC150,1.5,#FFC55C
Frank Gore,NYJ,RB,8.21,8.65,8.21,5200,4000,12,1,1,1,1,1,1,5,#FFFEFC,4.25,#FFF5E4,4,#FFFBF5
Damien Harris,NE,RB,8.33,8.62,8.33,5900,5300,18,1,1,1,1,1,1,8,#E6E6FA,6,#F3F3FC,6.25,#E9E9FA
D'Andre Swift,DET,RB,7.59,8.54,7.59,6900,6500,21,1,1,1,1,1,1,10,#D5D5F7,8.75,#DBDBF8,8,#D8D8F7
Devin Singletary,BUF,RB,7.38,8.5,7.38,5500,4300,13,1,1,1,0,1,1,5.75,#F9F9FD,6,#F3F3FC,5.25,#F3F3FC
Dallas D/ST,DAL,DST,8.46,8.46,8.46,3500,2400,13,1,1,1,1,1,1,0,#FFA500,0,#FFA500,0,#FFA500
Josh Reynolds,LA,WR,6.91,8.46,6.91,5200,3800,13,1,1,1,1,1,1,3,#FFDA97,3,#FFDDA1,3.75,#FFF6E6
Willie Snead,BAL,WR,6.77,8.42,6.77,5200,4300,16,1,1,1,1,0,1,4.25,#FFF0D6,3.25,#FFE2AE,4.75,#F8F8FD
Dalton Schultz,DAL,TE,6.64,8.37,6.64,5100,3500,14,1,1,1,1,1,1,2,#FFC864,2,#FFCA6B,2.5,#FFDB99
Zack Moss,BUF,RB,7.56,8.29,7.56,5400,5000,13,1,1,1,0,1,1,7,#EEEEFB,5.5,#F8F8FD,5,#F6F6FD
Irv Smith Jr.,MIN,TE,6.58,8.23,6.58,5100,3100,12,1,1,1,1,1,1,1,#FFB632,2.25,#FFCF78,2,#FFD07A
Ty Johnson,NYJ,RB,7.21,8.13,7.21,5500,4700,15,1,1,1,1,1,1,7.25,#ECECFB,6,#F3F3FC,5.5,#F1F1FC
Darius Slayton,NYG,WR,6.62,8.03,6.62,5400,4200,13,1,1,1,1,1,1,4.5,#FFF5E3,3.75,#FFECC9,4,#FFFBF5
Pharoh Cooper,CAR,WR,6.45,8.03,6.45,4500,3000,10,1,1,1,1,1,1,2.25,#FFCD71,2.5,#FFD486,2.75,#FFE0A8
Latavius Murray,NO,RB,7.27,7.8,7.27,5500,5400,16,1,1,1,1,1,1,8.75,#E0E0F9,6,#F3F3FC,6.75,#E4E4F9
Josh Jacobs,LV,RB,7.21,7.79,7.21,7400,6300,26,1,1,1,1,1,1,10.5,#D1D1F6,10.25,#CECEF5,9.25,#CBCBF4
Henry Ruggs,LV,WR,6.45,7.69,6.45,5400,4600,12,1,1,1,1,1,1,6,#F7F7FD,4,#FFF0D6,4,#FFFBF5
Tyler Eifert,JAC,TE,6.15,7.69,6.15,4700,3100,13,1,1,1,1,1,1,1.5,#FFBF4B,1.5,#FFC150,2.75,#FFE0A8
Jeff Wilson,SF,RB,6.72,7.66,6.72,5200,4000,12,1,1,1,1,1,1,6,#F7F7FD,5.75,#F6F6FD,5.5,#F1F1FC
Golden Tate,NYG,WR,6.09,7.63,6.09,5100,3600,10,1,1,1,1,1,1,3.75,#FFE7BD,3.5,#FFE7BB,3,#FFE6B8
Jordan Akins,HOU,TE,6.28,7.63,6.28,5000,2900,12,1,1,1,1,1,1,1.5,#FFBF4B,2,#FFCA6B,2.25,#FFD58A
Arizona D/ST,ARI,DST,7.61,7.61,7.61,4500,2700,16,1,1,1,1,1,1,2,#FFC864,2.75,#FFD993,1.75,#FFCA6B
Zach Pascal,IND,WR,6.25,7.58,6.25,4700,3300,11,1,1,1,1,1,1,3.5,#FFE3B0,2.75,#FFD993,4.25,#FDFDFE
Le'Veon Bell,KC,RB,6.77,7.53,6.77,5400,4400,12,1,1,1,1,1,1,6.75,#F0F0FC,6.5,#EFEFFC,5.5,#F1F1FC
Keelan Cole,JAC,WR,5.99,7.51,5.99,5100,,,1,1,1,1,1,1,,,3.75,#FFECC9,,
Cam Sims,WSH,WR,6.03,7.49,6.03,4600,3100,10,1,1,1,1,1,1,3,#FFDA97,3,#FFDDA1,3,#FFE6B8
K.J. Hamler,DEN,WR,6.11,7.47,6.11,5000,3000,12,1,1,1,1,1,1,3,#FFDA97,3.25,#FFE2AE,4.5,#FBFBFE
Los Angeles Rams D/ST,LA,DST,7.4,7.4,7.4,4300,3200,18,1,1,1,1,1,1,3.25,#FFDEA4,2.5,#FFD486,2.25,#FFD58A
Kenny Golladay,DET,WR,6.23,7.39,6.23,6600,6000,25,1,1,1,1,1,1,9.25,#DCDCF8,6,#F3F3FC,8,#D8D8F7
Jalen Reagor,PHI,WR,6.02,7.38,6.02,5500,4400,13,1,1,1,1,1,1,5.25,#FDFDFE,4.5,#FFFAF1,4.5,#FBFBFE
A.J. Green,CIN,WR,6.02,7.31,6.02,5300,3000,12,1,1,1,1,1,1,3,#FFDA97,4.25,#FFF5E4,4.5,#FBFBFE
Emmanuel Sanders,NO,WR,5.89,7.29,5.89,5300,4300,14,1,1,1,1,1,1,5.25,#FDFDFE,4.25,#FFF5E4,5,#F6F6FD
James White,NE,RB,5.74,7.28,5.74,5500,4600,15,1,1,1,1,1,1,7,#EEEEFB,7.5,#E6E6FA,7,#E2E2F9
